date,high,low,open,close,volume,code
2021-11-01 00:00:00,16.23,16.03,16.15,16.06,6408654,002603
2021-11-02 00:00:00,16.08,15.58,16,15.62,11290121,002603
2021-11-03 00:00:00,16.48,15.68,15.68,16.3,18112023,002603
2021-11-04 00:00:00,16.36,16.01,16.32,16.24,9703788,002603
2021-11-05 00:00:00,16.36,16.12,16.19,16.25,8133584,002603
2021-11-08 00:00:00,16.12,15.83,16.1,15.93,7319167,002603
2021-11-09 00:00:00,16.02,15.87,15.95,15.96,5044420,002603
2021-11-10 00:00:00,16.35,15.98,15.98,16.28,12672649,002603
2021-11-11 00:00:00,16.27,16.11,16.26,16.25,7557676,002603
2021-11-12 00:00:00,16.3,16.15,16.28,16.23,5877749,002603
2021-11-15 00:00:00,16.48,16.18,16.21,16.4,10944829,002603
2021-11-16 00:00:00,16.66,16.35,16.39,16.55,12951696,002603
2021-11-17 00:00:00,16.56,16.36,16.54,16.44,8284995,002603
2021-11-18 00:00:00,16.45,16.16,16.45,16.18,9275101,002603
2021-11-19 00:00:00,16.21,16.03,16.2,16.19,7103490,002603
2021-11-22 00:00:00,16.21,16.07,16.19,16.1,6745440,002603
2021-11-23 00:00:00,16.19,16.02,16.04,16.09,6597255,002603
2021-11-24 00:00:00,16.16,15.92,16.05,16.11,7245537,002603
2021-11-25 00:00:00,16.5,16.07,16.11,16.4,16495981,002603
2021-11-26 00:00:00,16.51,16.23,16.4,16.31,8489020,002603
2021-11-29 00:00:00,17.46,16.78,16.97,16.79,29398231,002603
2021-11-30 00:00:00,17.37,16.52,16.63,17.15,27846544,002603
2021-12-01 00:00:00,16.99,16.71,16.99,16.8,16113233,002603
2021-12-02 00:00:00,16.98,16.59,16.77,16.61,12291926,002603
2021-12-03 00:00:00,16.77,16.54,16.72,16.61,8659136,002603
2021-12-06 00:00:00,16.74,16.41,16.66,16.44,10548175,002603
2021-12-07 00:00:00,16.55,16.31,16.45,16.36,8886343,002603
2021-12-08 00:00:00,16.51,16.3,16.4,16.45,7403204,002603
2021-12-09 00:00:00,16.68,16.41,16.47,16.67,13211805,002603
2021-12-10 00:00:00,16.73,16.5,16.69,16.5,10594768,002603
2021-12-13 00:00:00,16.64,16.46,16.6,16.52,9588957,002603
2021-12-14 00:00:00,16.86,16.55,16.57,16.75,14551009,002603
2021-12-15 00:00:00,16.8,16.61,16.8,16.71,9851807,002603
2021-12-16 00:00:00,16.74,16.54,16.7,16.58,9151544,002603
2021-12-17 00:00:00,16.8,16.43,16.66,16.69,14690799,002603
2021-12-20 00:00:00,17.26,16.62,16.69,17.08,31747189,002603
2021-12-21 00:00:00,17.44,16.9,16.98,17.12,21098990,002603
2021-12-22 00:00:00,17.59,17.11,17.22,17.55,32491722,002603
2021-12-23 00:00:00,17.64,17.19,17.55,17.44,27115060,002603
2021-12-24 00:00:00,19.18,17.23,17.46,18.88,88233453,002603
2021-12-27 00:00:00,19.32,18.6,18.8,19.15,70798875,002603
2021-12-28 00:00:00,19.05,18.18,19.04,18.19,51467065,002603
2021-12-29 00:00:00,18.75,18.05,18.1,18.21,38349670,002603
2021-12-30 00:00:00,18.46,18,18.4,18.4,29592225,002603
2021-12-31 00:00:00,19.85,18.58,18.6,19.6,77151378,002603
2022-01-04 00:00:00,21.48,20.3,20.5,20.35,89185444,002603
2022-01-05 00:00:00,20.38,19.2,20.35,19.55,54820348,002603
2022-01-06 00:00:00,20.85,19.16,19.21,20.62,57884142,002603
2022-01-07 00:00:00,22.68,20.28,20.35,22.05,144777036,002603
2022-01-10 00:00:00,24.26,22.3,22.71,24.26,139470559,002603
2022-01-11 00:00:00,25.8,23.85,24.86,24.44,121504508,002603
2022-01-12 00:00:00,25.34,23.23,24.4,25.03,96064551,002603
2022-01-13 00:00:00,24.45,22.53,24.35,23.07,98745065,002603
2022-01-14 00:00:00,25.38,22.71,22.79,25.38,93919762,002603
2022-01-17 00:00:00,27.92,25.43,26,27.6,145221159,002603
2022-01-18 00:00:00,27.26,25.76,26.39,25.87,99125781,002603
2022-01-19 00:00:00,26.26,24.76,25.3,25.29,68568523,002603
2022-01-20 00:00:00,25.76,23.9,25.5,23.96,77597783,002603
2022-01-21 00:00:00,24.2,22.51,23.89,22.64,67350051,002603
2022-01-24 00:00:00,22.75,22.02,22.08,22.36,47828302,002603
2022-01-25 00:00:00,22.54,20.76,22.36,20.8,61110489,002603
2022-01-26 00:00:00,21.36,20.17,21.01,20.3,39198392,002603
2022-01-27 00:00:00,21.38,20.41,20.7,20.73,54959024,002603
2022-01-28 00:00:00,21.7,20.36,20.36,20.82,48644177,002603
2022-02-07 00:00:00,21.71,20.24,21.1,21.28,39298087,002603
2022-02-08 00:00:00,21.23,20.45,21.1,20.95,27614137,002603
2022-02-09 00:00:00,23.05,20.66,20.71,23.05,50290691,002603
2022-02-10 00:00:00,24.5,22.8,23,23.68,70058005,002603
2022-02-11 00:00:00,24,22,23.83,22.24,52908370,002603
2022-02-14 00:00:00,22.89,21.23,21.46,21.81,41003872,002603
2022-02-15 00:00:00,23.99,21.5,21.79,23.99,32239003,002603
2022-02-16 00:00:00,25.05,23.66,25,24.43,70655755,002603
2022-02-17 00:00:00,24.8,23.55,24.21,23.92,48510799,002603
2022-02-18 00:00:00,25.1,23.93,23.93,24.99,73452286,002603
2022-02-21 00:00:00,26.05,23.89,24.5,25.59,78937691,002603
2022-02-22 00:00:00,25.67,23.93,25,24.8,59465551,002603
2022-02-23 00:00:00,25.44,24.33,24.7,24.57,44182853,002603
2022-02-24 00:00:00,26.09,24.38,24.58,24.79,74866732,002603
2022-02-25 00:00:00,24.97,23.92,24.48,23.96,58627561,002603
2022-02-28 00:00:00,24.88,23.9,23.99,24.1,57247565,002603
2022-03-01 00:00:00,24.16,23.53,23.9,23.75,34401211,002603
2022-03-02 00:00:00,25.8,23.21,23.5,25.02,67885303,002603
2022-03-03 00:00:00,26.09,24.73,25,25.51,63506709,002603
2022-03-04 00:00:00,27.5,25.06,25.27,26.29,78887257,002603
2022-03-07 00:00:00,27.07,25.57,26.75,26.8,60887890,002603
2022-03-08 00:00:00,26.4,24.12,26.4,24.12,65385518,002603
2022-03-09 00:00:00,23.9,21.74,23.68,22.91,68615938,002603
2022-03-10 00:00:00,24.55,23.1,23.35,24.4,56711947,002603
2022-03-11 00:00:00,26.84,23.99,24.38,26.84,90615680,002603
2022-03-14 00:00:00,29.52,28.05,29,29.52,135855395,002603
2022-03-15 00:00:00,31,26.86,28.88,28.49,160319269,002603
2022-03-16 00:00:00,29.6,27.07,29.05,28.66,110942783,002603
2022-03-17 00:00:00,31.5,27.5,27.7,30.37,136557010,002603
2022-03-18 00:00:00,31.73,29.79,30,30.59,113893510,002603
2022-03-21 00:00:00,31.59,29.65,30.87,31.18,100242211,002603
2022-03-22 00:00:00,30.67,28.71,30.56,28.77,83080042,002603
2022-03-23 00:00:00,29.55,28.1,28.51,28.84,58911417,002603
