date,comment
2021.12.05,中药是个宝
2021.12.05,现在看来，真正解决疫情的还是中药！
2021.12.05,在南非确诊奥密克戎的中国小伙在用中药治疗，密切关注！[呲牙][呲牙]
2021.12.05,光喊有何用，你当庄拉吗？
2021.12.05,万古大傻星期一肯定又开始射了
2021.12.05,以岭药业研究布局抗衰老药取得成果
2021.12.05,再进一言：可以向冬奥会组委会提议，防治新冠病毒疫情应该以中医药为主，中西医结合万
2021.12.05,药茅？！
2021.12.05,好好好
2021.12.05,公司有无意向争取生产辉瑞口服新冠药物？以岭药业：目前暂无此项计划
2021.12.05,以岭药业本周融资净买入1552.91万元，居中药板块第八
2021.12.05,以岭药业本周深股通持股市值减少3143万元，居中药板块第一
2021.12.05,中药真香不知道周一市场怎么看？
2021.12.05,以岭目前进入医院及市场的产品大约二十至三十种左右，营业收入一百多亿，如果储备一千
2021.12.05,什么马云，那个大佬，无机构大资金关注，和你本人没有半毛钱的关系，说了他妈一百遍了
2021.12.05,等我上车
2021.12.05,南非华人用中药治疗奥密克感染者效果非常好，那是药汤子，估计莲花也能不错
2021.12.05,南非中药上热搜！
2021.12.05,垃圾套半年了，周一割掉你！
2021.12.05,以岭药业布局抗衰老药物研发取得成果……以岭咨询里又出新衣恶意新消息，含金量有没有
2021.12.05,石家庄有疫情，以玲该你出手了，哈哈
2021.12.05,你们的成本是多少的
2021.12.05,一个刻舟求剑的企业只能是沉沦。
2021.12.04,新冠病毒不太可能被清除，最后很可能会进化成一种类似感冒的病毒。
2021.12.04,以岭药业--良心企业
2021.12.04,老鸭头岀来了
2021.12.04,确实有老鸭头迹象，期待主升浪
2021.12.04,以岭的逻辑在于特效药
2021.12.04,分析一下以岭药业为何不涨，其实很简单。三季报可以告诉大家两家持股交大的基金兴全、
2021.12.04,以岭药业12月03日被深股通减持64.31万股
2021.12.04,躁起来，医疗起来
2021.12.04,28的本～啥时回本啥是一路飘红
2021.12.03,挣了钱清仓
2021.12.03,你个呆瓜。
2021.12.03,奥密克戎的传播可能会超出想象！
2021.12.03,根据东方财富2020年三季报的研报，推测21年营业收入107亿元，前三季度营业收
2021.12.03,我来说说今天新华和以岭，看到新华昨天被北上资金减持，然后今天直接涨停，让北上资金
2021.12.03,是鸟不一定会飞，是猪不一定上不了天
2021.12.03,以岭操作计划---以岭可以建仓了，17元上下可以来回T
2021.12.03,但凡以领的管理层对股民负一点责任以领就不会自由落体，私心太重不适合搞管理，最好还
2021.12.03,不容易长了2分了[拜神]
2021.12.03,傻玩意，下周小爷命令像顺鑫一样雄起！
2021.12.03,看他给中药起名就有先见，不然怎么起连花清瘟胶囊，别的厂家一样的不能用这种名字啊
2021.12.03,抛了以岭，舒服，外面红彤彤一片，以岭让我失去顺鑫农业，气死了，以岭根本没有资金，
2021.12.03,持有以岭，安安心心看风景。
2021.12.03,今天开盘招致股民疯狂抛售，这就是让大家伤心透顶的股票遭抛弃的淋漓体现。不过，当大
2021.12.03,这股太垃圾了，大盘涨这么多，一点也不动，一周了只会阴跌
2021.12.03,彻底活埋，看来真的要做股东了
2021.12.03,抛
2021.12.03,庄你厉害。有本事大跌呀。几分钱搞什么
2021.12.03,天天不戴绿帽子不舒服
2021.12.03,以岭药业连续5日遭北上资金净卖出，累计卖出2486.21万元
2021.12.03,好久不看，以岭竟然成这样了。
2021.12.03,风雨不动安如山～好股好票有气质
2021.12.03,以岭应该有十四种仿制药获准美国上市，要知道国外药价是国内数十倍乃至数百千倍。例如
2021.12.03,一分磨叽一天
2021.12.03,一分钱来来回回的简直是有病，那寒酸样子
2021.12.03,突然想起一句歌词:什么时候才能看到股民有张成熟长大的脸
2021.12.03,万年不动的垃圾，进来一次套一次，割了，留下的发财
2021.12.03,这个企业太黑暗了，看不到光明！一直见不得大盘红
2021.12.03,莲花清瘟领头，以岭众多产品出海势在必行，产业园建成产能放大，中医药大健康航空母舰
2021.12.03,以岭利好一个又一个，涨停没一个[笑哭][大笑]
2021.12.03,sb得票.
2021.12.03,见不得光的企业，以岭药业！吸血鬼
2021.12.03,中药抗击新冠病毒感冒与蛋白免疫制剂比较，中药有成本优势，一般几十元就行，而且安全
2021.12.03,以岭药业：首批中药配方颗粒国家标准已于今年11月1日起正式实施
2021.12.03,万古大傻起床射啦
2021.12.03,今天收在17.21
2021.12.03,根据走势和股东分析这股没有机构在里面没有排名压力所以不会涨的大家别抱太大期望不然
2021.12.03,套套容易，解套难！韭菜一茬又一茬！
2021.12.03,一二三，出货下来，jian货以岭
2021.12.03,别跌两个点就要死要活，涨一下就火箭升天，第一天进股市吗？
2021.12.03,套0.48今天能否解套，最好解套，再给个二斤羊肉钱
2021.12.03,坟墓药业，专埋人的！以岭药业阴森森，好恐怖
2021.12.03,2021年中国感冒中成药市场规模及市场竞争格局分析：华润三九医药连续多年蝉联第一[图]
2021.12.03,主力真恶心，真
2021.12.03,一个星期跌了四天，最牛的医药。前途无量
2021.12.03,完犊子了，套套，韭菜盒子
2021.12.03,每天开盘一拉高，立马下来
2021.12.03,开盘十五分钟，我就感觉今天又要下班了
2021.12.03,有量活跃起来
2021.12.03,吴老头、你该下来了、叫小吴上他会比你坚挺的[坏笑]
2021.12.03,低位出货，脑袋有毛病。
2021.12.03,深股通大刘忙
2021.12.03,此股有毒！
2021.12.03,双钉钉板，配机关枪，看到要绞杀空头了
2021.12.03,又要跌一波了
2021.12.03,废了
2021.12.03,以岭药业：融资净买入419.02万元，融资余额9.71亿元（12-02）
2021.12.03,真心提醒，大盘冲高回落信号很特别，跨年行情还能不能涨？无论你空仓还是满仓，我都给你一个明确的答复！
2021.12.03,$以岭药业(SZ002603)$20211202对应的骨架为16.61[大笑]
2021.12.03,[滴汗][滴汗][滴汗]审核没通过，药酒也是酒！为啥不通过呢？
2021.12.03,中医药治疗效果慢，反应在国际市场也是一样的道理。炒就用大资金博弈。疗效明牌，平安
2021.12.03,以岭老板是也可以赚大钱。巴菲特投资理念只要有专利，高附加值，用途广泛就行。
2021.12.03,横看成岭侧成峰，远近高低各不同，不识庐山真面目，只缘身在此山中。
2021.12.03,请问十大股东里面的马云是杭州的马云吗?
2021.12.03,同城的华药，利润靠政府补贴一点点，业绩不好，但有主力在，特别是国家队，股价确实不
2021.12.03,16准备接回
2021.12.03,这货又死了
2021.12.03,兄弟们没事了，可以去红日药业里面转转，都差不多，哭喊叫怨的一大堆，今年投资了中药
2021.12.02,还是老套路，资讯一来，明天碧绿碧绿的[怒]乌拉乌拉！
2021.12.02,年底前股东看样子是想有所了结。
2021.12.02,[图片]
2021.12.02,股票如人！越老越无德！
