date,high,low,open,close,volume,code
2021.11.01,8.48,8.25,8.43,8.44,9844701,002317.SZ
2021.11.02,8.56,8.09,8.45,8.2,15520709,002317.SZ
2021.11.03,8.34,8.18,8.23,8.24,7100041,002317.SZ
2021.11.04,8.37,8.23,8.25,8.28,6743259,002317.SZ
2021.11.05,8.31,8.22,8.28,8.23,5755241,002317.SZ
2021.11.08,8.27,8.08,8.26,8.12,10965004,002317.SZ
2021.11.09,8.27,8.1,8.13,8.25,8568535,002317.SZ
2021.11.10,8.38,8.21,8.3,8.36,12148055,002317.SZ
2021.11.11,8.43,8.29,8.29,8.37,8056604,002317.SZ
2021.11.12,8.46,8.32,8.35,8.45,8269917,002317.SZ
2021.11.15,9.3,8.46,8.49,9.3,26949240,002317.SZ
2021.11.16,9.83,9.27,9.58,9.34,45193671,002317.SZ
2021.11.17,9.35,9.01,9.14,9.22,21164136,002317.SZ
2021.11.18,9.28,8.94,9.22,8.97,17005161,002317.SZ
2021.11.19,9.09,8.78,8.98,9.05,15304577,002317.SZ
2021.11.22,9.42,8.98,9.02,9.31,18435242,002317.SZ
2021.11.23,9.85,9.26,9.37,9.72,24227726,002317.SZ
2021.11.24,10.69,9.56,9.6,10.69,50852251,002317.SZ
2021.11.25,11.76,11.76,11.76,11.76,8610838,002317.SZ
2021.11.26,12.76,11.43,12.13,12.19,124394389,002317.SZ
2021.11.29,13.03,11.59,12.15,12.79,95997917,002317.SZ
2021.11.30,12.55,11.91,12.5,12.16,65630697,002317.SZ
2021.12.01,12.31,11.3,12.18,11.4,61189225,002317.SZ
2021.12.02,11.54,10.68,11.52,10.68,57766665,002317.SZ
2021.12.03,10.84,10.35,10.81,10.47,36558537,002317.SZ
2021.12.06,10.55,10.07,10.49,10.09,33713921,002317.SZ
2021.12.07,10.18,9.86,10.09,9.95,26141138,002317.SZ
2021.12.08,10.04,9.9,9.96,9.95,23138795,002317.SZ
2021.12.09,10.1,9.9,9.98,10.0,30450868,002317.SZ
2021.12.10,10.03,9.68,10.02,9.76,31183313,002317.SZ
2021.12.13,9.92,9.75,9.75,9.88,18455653,002317.SZ
2021.12.14,10.15,9.88,9.89,10.03,26593798,002317.SZ
2021.12.15,10.28,9.87,10.09,10.08,29988952,002317.SZ
2021.12.16,10.07,9.85,10.04,9.89,22642120,002317.SZ
2021.12.17,10.08,9.69,9.85,9.99,26861951,002317.SZ
