date,code,high,low,open,close,volume
2021.11.01,601975.SH,1.95,1.92,1.95,1.94,22105292
2021.11.02,601975.SH,1.94,1.9,1.93,1.92,31795181
2021.11.03,601975.SH,1.93,1.9,1.91,1.93,23128660
2021.11.04,601975.SH,1.93,1.91,1.93,1.92,17877731
2021.11.05,601975.SH,1.93,1.91,1.92,1.91,17077035
2021.11.08,601975.SH,1.93,1.9,1.91,1.92,20528906
2021.11.09,601975.SH,1.93,1.91,1.92,1.92,17947170
2021.11.10,601975.SH,1.92,1.9,1.92,1.92,24256505
2021.11.11,601975.SH,1.95,1.91,1.92,1.94,31970630
2021.11.12,601975.SH,1.96,1.94,1.95,1.95,18123203
2021.11.15,601975.SH,1.97,1.94,1.96,1.95,26206735
2021.11.16,601975.SH,1.97,1.94,1.96,1.94,25745190
2021.11.17,601975.SH,1.96,1.93,1.95,1.95,24773762
2021.11.18,601975.SH,1.96,1.94,1.95,1.94,22046622
2021.11.19,601975.SH,1.96,1.94,1.94,1.96,16328134
2021.11.22,601975.SH,1.97,1.94,1.96,1.94,24758238
2021.11.23,601975.SH,1.97,1.93,1.94,1.95,32032076
2021.11.24,601975.SH,1.97,1.95,1.95,1.96,24297039
2021.11.25,601975.SH,1.97,1.94,1.96,1.96,23853454
2021.11.26,601975.SH,1.96,1.93,1.95,1.94,23719549
2021.11.29,601975.SH,1.94,1.92,1.93,1.93,26315363
2021.11.30,601975.SH,1.97,1.92,1.93,1.94,35494040
2021.12.01,601975.SH,1.96,1.93,1.94,1.96,35164875
2021.12.02,601975.SH,1.97,1.94,1.95,1.95,33640407
2021.12.03,601975.SH,2.03,1.95,1.96,2.0,76995218
2021.12.06,601975.SH,2.0,1.96,1.99,1.96,50734641
2021.12.07,601975.SH,1.98,1.95,1.98,1.96,29761062
2021.12.08,601975.SH,1.97,1.95,1.97,1.96,27813222
2021.12.09,601975.SH,1.98,1.95,1.96,1.97,26414122
2021.12.10,601975.SH,1.98,1.96,1.97,1.97,30093544
2021.12.13,601975.SH,1.98,1.95,1.97,1.96,29060536
2021.12.14,601975.SH,1.96,1.94,1.95,1.95,25346556
2021.12.15,601975.SH,1.97,1.94,1.95,1.96,29171427
2021.12.16,601975.SH,1.98,1.95,1.96,1.98,29405882
2021.12.17,601975.SH,2.0,1.97,1.98,1.99,49518431
2021.12.20,601975.SH,2.05,1.98,1.98,2.02,83037448
2021.12.21,601975.SH,2.1,2.02,2.02,2.09,110105959
2021.12.22,601975.SH,2.11,2.04,2.1,2.05,88087248
2021.12.23,601975.SH,2.07,2.02,2.04,2.03,53376256
2021.12.24,601975.SH,2.04,1.99,2.03,2.02,42179180
2021.12.27,601975.SH,2.03,2.01,2.01,2.01,28232486
2021.12.28,601975.SH,2.02,1.98,2.01,1.99,31888178
2021.12.29,601975.SH,2.02,1.98,2.0,2.01,34416278
2021.12.30,601975.SH,2.01,1.99,2.0,2.01,31827537
2021.12.31,601975.SH,2.02,1.99,2.0,2.01,25079156
2022.01.04,601975.SH,2.06,2.01,2.01,2.05,62804038
2022.01.05,601975.SH,2.06,2.03,2.05,2.04,47548076
2022.01.06,601975.SH,2.06,2.03,2.04,2.05,37278404
2022.01.07,601975.SH,2.11,2.04,2.05,2.07,86543541
2022.01.10,601975.SH,2.1,2.07,2.07,2.09,52768534
2022.01.11,601975.SH,2.1,2.08,2.08,2.09,38591702
2022.01.12,601975.SH,2.1,2.05,2.1,2.06,34946987
2022.01.13,601975.SH,2.12,2.06,2.07,2.07,55625571
2022.01.14,601975.SH,2.08,2.02,2.08,2.03,44810462
2022.01.17,601975.SH,2.05,2.02,2.03,2.03,22122959
2022.01.18,601975.SH,2.03,1.99,2.03,2.01,49182279
2022.01.19,601975.SH,2.05,2.0,2.0,2.02,38172966
2022.01.20,601975.SH,2.05,2.02,2.03,2.03,29161335
2022.01.21,601975.SH,2.04,2.0,2.03,2.0,32199311
2022.01.24,601975.SH,2.01,1.96,2.0,1.96,40640684
2022.01.25,601975.SH,1.97,1.89,1.96,1.89,56821792
2022.01.26,601975.SH,1.93,1.89,1.89,1.92,32455184
2022.01.27,601975.SH,1.92,1.88,1.92,1.89,48526863
2022.01.28,601975.SH,1.91,1.88,1.9,1.89,40569583
2022.02.07,601975.SH,1.96,1.89,1.9,1.95,59739244
2022.02.08,601975.SH,2.06,1.94,1.95,2.05,105350352
2022.02.09,601975.SH,2.07,2.02,2.05,2.07,66771758
2022.02.10,601975.SH,2.08,2.05,2.07,2.07,53948332
2022.02.11,601975.SH,2.08,2.04,2.07,2.05,50476827
2022.02.14,601975.SH,2.07,2.03,2.05,2.04,54806808
2022.02.15,601975.SH,2.05,2.0,2.05,2.01,40415787
2022.02.16,601975.SH,2.05,2.0,2.02,2.02,41518050
2022.02.17,601975.SH,2.03,1.99,2.02,2.0,33886684
2022.02.18,601975.SH,2.03,1.98,1.99,2.02,36322127
2022.02.21,601975.SH,2.05,2.01,2.02,2.04,35232229
2022.02.22,601975.SH,2.05,1.99,2.03,2.01,45312650
2022.02.23,601975.SH,2.04,2.01,2.01,2.01,42378103
2022.02.24,601975.SH,2.02,1.95,2.02,1.97,53615988
2022.02.25,601975.SH,2.03,1.98,1.98,2.0,50151893
2022.02.28,601975.SH,2.05,2.01,2.03,2.04,69891022
2022.03.01,601975.SH,2.06,2.02,2.04,2.03,47309358
2022.03.02,601975.SH,2.08,2.03,2.04,2.08,74597878
2022.03.03,601975.SH,2.29,2.07,2.09,2.23,380583841
2022.03.04,601975.SH,2.2,2.11,2.2,2.14,268700754
2022.03.07,601975.SH,2.18,2.07,2.14,2.08,156694675
2022.03.08,601975.SH,2.1,2.0,2.09,2.01,118573871
2022.03.09,601975.SH,2.03,1.9,2.02,1.94,128097067
2022.03.10,601975.SH,1.98,1.93,1.96,1.94,84406868
2022.03.11,601975.SH,1.96,1.88,1.93,1.95,86149133
2022.03.14,601975.SH,1.96,1.9,1.94,1.91,63793239
