comment,date
这算是很明确的M头了吧阶段性撤离了等年报再看情况入手感谢南油给的利润,2022/11/9
庞大集团抄,2022/11/9
庞大集团抄底,2022/11/9
刚买就吃了一个跌停我好惨这股股性太差,2022/11/9
我就不信你能直接拉起来捂脸捂脸捂脸,2022/11/9
近期油运指数连涨啊股价怎么还不行,2022/11/9
今天能起啵,2022/11/9
这大托单下午不绿都难,2022/11/9
有本事今天再来一跌停,2022/11/9
大盘涨你跌,2022/11/9
这段时间妖股太多了这种走的慢的股机构看不上了,2022/11/9
昨天主力出了大量资金今天主力拉涨想让散户继续接盘,2022/11/9
确实是一只好票现在买5万元明年变10一15万那有这么牛的股,2022/11/9
飞流直下三千尺准是南油落九天,2022/11/9
油油磨练意志和耐心不期盼大涨也不期盼涨停只要一直有所收获就满足毕竟我们不,2022/11/9
494接半仓主力主力主力,2022/11/9
招商南油5元以下砸锅卖在卖房闭眼尽管买进一万变二万三万小儿科,2022/11/9
这样的价位就是捡漏了坚决买入潜伏,2022/11/9
海能绿了还在撕撑啥,2022/11/9
这什么几把软件啊卡死在哪里草,2022/11/9
拉稀拉死你,2022/11/9
崩溃了,2022/11/9
我的同花顺今天坏了十几分钟登不上去我靠,2022/11/9
买个五万股顶一下支持一下招商南油小宝宝,2022/11/9
洗洗更健康加油,2022/11/9
招商南油11月9日快速回调,2022/11/9
怎么回事快哭了,2022/11/9
怎么我的南油报价卡了其他的没事,2022/11/9
鸡狗砸盘时间越来越早都不用吃早餐开早会了看来鸡狗都慌了,2022/11/9
这货今天能上55,2022/11/9
出完货了又要阴跌三四天了,2022/11/9
相信你,2022/11/9
今天看涨,2022/11/9
我去明天是不是又要涨停了,2022/11/9
今天大盘都会绿这货肯定跌5个点以上,2022/11/9
诱多然后一波跌停一下到3块,2022/11/9
我就说了主力根本就没走,2022/11/9
抓紧机会溜了这货不保险,2022/11/9
昨天补的今天T一下主力是个好人,2022/11/9
八个亿的融资盘,2022/11/9
真会玩昨天砸的这么狠,2022/11/9
今天能飞啵,2022/11/9
今天啥意思,2022/11/9
油轮在未来几年都会供给不足南油有足够时间顺势发展开拓市场给南油一点时间,2022/11/9
今天表现会怎样,2022/11/9
好好走天天让我去中远看盘去,2022/11/9
加仓一个亿为你举牌,2022/11/9
今天继续杀融资盘祭天融资太多了得杀掉一点祭天这样才好涨得意得意得,2022/11/9
今天能涨一波不,2022/11/9
昨天随大盘调整结束今天上攻,2022/11/9
周二费率,2022/11/9
跌一天涨一天挺好,2022/11/9
招商南油融资净买入123372万元融资余额81亿元1108,2022/11/9
招商蛇口和招商南油是不是要合并,2022/11/9
别人恐惧我贪婪想想,2022/11/9
再等两天后进场,2022/11/9
南油在复制78月份的走势么希望是做第二个调整中枢然后再上一波,2022/11/9
退市,2022/11/9
今天没涨停有点可惜目前主力资金今天大量入场散户大量卖出如果明天下杀我继续加,2022/11/8
能买嘛,2022/11/8
当下的环境当下的的股市有明确盈利且有真实业绩支撑的有多少讲故事的最终还是要回,2022/11/8
断头铡刀一定要警惕,2022/11/8
610的在山顶上好凉快啊快点涨上来吧,2022/11/8
卧槽昨天割肉三万,2022/11/8
奇怪今天这么多资金流出也没排个榜出来,2022/11/8
卖出卖出卖出三哥最给力的做法向天借力点股成金献花,2022/11/8
服了52进的人傻了哭哭哭怒怒怒怒怒怒,2022/11/8
子弹全部打光allin奸笑,2022/11/8
流出二个亿,2022/11/8
起步都是7个点以上不是跌就是涨都猛的,2022/11/8
气疯了,2022/11/8
别奶了,2022/11/8
明天再跌我就买一点不知道给不给机会,2022/11/8
招商南油SH601975,2022/11/8
明天不涨你们来评论区骂我以此为证,2022/11/8
招商南油今天己卖清不玩了,2022/11/8
冲啊要涨停了,2022/11/8
很多人包括谷歌翻译把fixed理解成了repaired以为是老船被维修后增加了,2022/11/8
处入股市两个月主力什么套路真的没看懂下血本封板后不是应该拉高出货挣差价吗为,2022/11/8
今天暴跌的原因找到了肯定是天狗食月导致的,2022/11/8
昨日掐指一算今天大跌,2022/11/8
今天不跌停明天跌不停大笑大笑大笑大笑大笑大笑,2022/11/8
今天就这样就行收个小十字吧,2022/11/8
运价大涨股价大跌,2022/11/8
高位派利好出货,2022/11/8
大盘资金缩量明天资金抱团明天指定涨,2022/11/8
有谁知道今天为什么差点跌停,2022/11/8
做T都能吃饱,2022/11/8
那些吹重组的我都想到重组叫啥了就叫招商神船然后明天就开始集合竞价涨停连涨,2022/11/8
就看中期选举了结果不好油运就躺平,2022/11/8
特么什么事情都可以成为利空万物皆利空没有散户才叫利好,2022/11/8
今天低开低走第一第二支撑位已破最低探483离俺第三支撑位486仅差三,2022/11/8
今天涨停无疑了,2022/11/8
大家都有逻辑只是行动的时间点有没有偏差昨天上午涨一个多点全部抛出不留底仓是,2022/11/8
本人心直口快大家莫怪,2022/11/8
周一有望开门红,2022/11/8
恐惧是很多散户最怕的明天领头进来救人了愿意跟领头哥操作的吃肉了,2022/11/8
499接一部分主力主力主力,2022/11/8
