comment,date,processed_text,sentiment_score
贪婪~复利 2017-06-17 ,,"['贪婪', '复利', ' ', '20170617', ' ']",-1.0
飞鸟捕鱼 飞鸟捕鱼,2017-06-19,"['飞鸟', '捕鱼', ' ', '飞鸟', '捕鱼']",0.0
继上证50进入牛市之后，沪深300进入牛市。创业板依旧是熊市。能不能带起创业板，,2017-06-19,"['继', '上证', '50', '牛市', '沪', '深', '300', '牛市', '创业板', '依旧', '熊市', '不能', '带', '创业板']",0.0
我看到的是由骗到抢的转变,2017-06-19,"['骗到', '抢']",0.0
忠言逆耳：五穷六绝了，七翻身不会如期而至。原因是板块和个股分化严重，权重股进入休,2017-06-19,"['忠言逆耳', '五穷六绝', '七', '翻身', '不会', '如期而至', '原因', '板块', '个股', '分化', '权重股', '休']",0.0
[鼓掌]红6月大盘走势良好震荡上行政策面：新股发审数量连续三周放缓从严审核风格未,2017-06-19,"['鼓掌', '红', '6', '月', '大盘走势', '震荡', '上行', '政策', '面', '新股', '发审', '数量', '连续', '三周', '放缓', '从严', '审核', '风格', '未']",1.0
为什么泸深300，还没开盘就是绿的了？？？,2017-06-19,"['泸深', '300', '还', '没', '开盘', '绿']",0.0
300583唯一创业板低于发行首日价，已止跌企稳，回头向上，反弹空间很大，积极参,2017-06-19,"['300583', '唯一', '创业板', '低于', '发行', '首日', '价已', '止跌企稳', '回头', '向上', '反弹', '空间', '很大', '参']",2.0
今年前5个月，有103家大股东进行顶格式减持和清仓式减持，几十亿到手便告别了实体,2017-06-19,"['前', '5', '月', '103', '家大', '股东', '顶', '格式', '减持', '清仓', '式', '减持', '几十亿', '到手', '便', '告别', '实体']",-2.0
"超跌电力水电股600131涨停,四川电改类600101明星电力等下午是买点.",2017-06-19,"['超跌', '电力', '水电', '股', '600131', '涨停', '四川', '电改类', '600101', '明星', '电力', '下午', '买点']",1.0
看见吧拉高出货吧,2017-06-19,"['拉高', '出货']",1.0
怎么上去的，就怎么下来，哈哈[大笑][大笑],2017-06-19,"['哈哈大笑', '大笑']",1.0
论市（早评）,2017-06-19,"['论市', '早评']",0.0
还漂亮5O，漂亮就是为了拉高出货,2017-06-20,"['还', '漂亮', '5O', '漂亮', '拉高', '出货']",3.0
跟着国家队做T，蓝筹股尾盘卖尽,2017-06-20,"['跟着', '国家队', '做', 'T', '蓝筹股', '尾盘', '卖']",0.0
五穷六绝七跳水,2017-06-20,"['五穷六绝', '七', '跳水']",-1.0
站着下跪的人，比俯身屈膝更为低下；灵魂标价的人，比肉体出卖更为可怕！//@正邦有,2017-06-20,"['站', '下跪', '人', '俯身', '屈膝', '更为', '低下', '灵魂', '标价', '人', '肉体', '出卖', '更为', '可怕', '正邦']",-3.0
高盛作为企业钻A股IPO漏洞赚取暴利，错不在他们。制度有漏洞，钻漏洞可以赚取暴利,2017-06-20,"['高盛', '企业', '钻', 'A股', 'IPO', '漏洞', '赚取', '暴利', '错', '不在', '制度', '漏洞', '钻', '漏洞', '赚取', '暴利']",-5.0
