date,avg_sentiment_score,high,low,open,close,volume,code
2021/11/1,0.070175439,16.23,16.03,16.15,16.06,6408654,2603
2021/11/2,-0.633802817,16.08,15.58,16,15.62,11290121,2603
2021/11/3,0.081395349,16.48,15.68,15.68,16.3,18112023,2603
2021/11/4,-0.063492063,16.36,16.01,16.32,16.24,9703788,2603
2021/11/5,-0.215384615,16.36,16.12,16.19,16.25,8133584,2603
2021/11/8,-0.375,16.12,15.83,16.1,15.93,7319167,2603
2021/11/9,-0.573170732,16.02,15.87,15.95,15.96,5044420,2603
2021/11/10,0.196721311,16.35,15.98,15.98,16.28,12672649,2603
2021/11/11,0.150943396,16.27,16.11,16.26,16.25,7557676,2603
2021/11/12,0.222222222,16.3,16.15,16.28,16.23,5877749,2603
2021/11/15,0.214285714,16.48,16.18,16.21,16.4,10944829,2603
2021/11/16,-0.146341463,16.66,16.35,16.39,16.55,12951696,2603
2021/11/17,-0.085106383,16.56,16.36,16.54,16.44,8284995,2603
2021/11/18,-0.264150943,16.45,16.16,16.45,16.18,9275101,2603
2021/11/19,-0.274193548,16.21,16.03,16.2,16.19,7103490,2603
2021/11/22,-0.226415094,16.21,16.07,16.19,16.1,6745440,2603
2021/11/23,-0.369565217,16.19,16.02,16.04,16.09,6597255,2603
2021/11/24,-0.142857143,16.16,15.92,16.05,16.11,7245537,2603
2021/11/25,-0.013333333,16.5,16.07,16.11,16.4,16495981,2603
2021/11/26,0.159090909,16.51,16.23,16.4,16.31,8489020,2603
2021/11/29,0.086092715,17.46,16.78,16.97,16.79,29398231,2603
2021/11/30,0.011235955,17.37,16.52,16.63,17.15,27846544,2603
2021/12/1,-0.2,16.99,16.71,16.99,16.8,16113233,2603
2021/12/2,-0.152173913,16.98,16.59,16.77,16.61,12291926,2603
2021/12/3,-0.107692308,16.77,16.54,16.72,16.61,8659136,2603
2021/12/6,-0.259259259,16.74,16.41,16.66,16.44,10548175,2603
2021/12/7,-0.333333333,16.55,16.31,16.45,16.36,8886343,2603
2021/12/8,-0.25,16.51,16.3,16.4,16.45,7403204,2603
2021/12/9,0.076923077,16.68,16.41,16.47,16.67,13211805,2603
2021/12/10,-0.157894737,16.73,16.5,16.69,16.5,10594768,2603
2021/12/13,-0.424242424,16.64,16.46,16.6,16.52,9588957,2603
2021/12/14,0.126984127,16.86,16.55,16.57,16.75,14551009,2603
2021/12/15,0.025641026,16.8,16.61,16.8,16.71,9851807,2603
2021/12/16,-0.181818182,16.74,16.54,16.7,16.58,9151544,2603
2021/12/17,0.032258065,16.8,16.43,16.66,16.69,14690799,2603
2021/12/20,0.380434783,17.26,16.62,16.69,17.08,31747189,2603
2021/12/21,-0.056179775,17.44,16.9,16.98,17.12,21098990,2603
2021/12/22,-0.028037383,17.59,17.11,17.22,17.55,32491722,2603
2021/12/23,0.256410256,17.64,17.19,17.55,17.44,27115060,2603
2021/12/24,0.187022901,19.18,17.23,17.46,18.88,88233453,2603
2021/12/27,0.139534884,19.32,18.6,18.8,19.15,70798875,2603
2021/12/28,-0.012121212,19.05,18.18,19.04,18.19,51467065,2603
2021/12/29,0.03030303,18.75,18.05,18.1,18.21,38349670,2603
2021/12/30,-0.083333333,18.46,18,18.4,18.4,29592225,2603
2021/12/31,0.229166667,19.85,18.58,18.6,19.6,77151378,2603
2022/1/4,0.116751269,21.48,20.3,20.5,20.35,89185444,2603
2022/1/5,-0.236220472,20.38,19.2,20.35,19.55,54820348,2603
2022/1/6,0.096774194,20.85,19.16,19.21,20.62,57884142,2603
2022/1/7,0.347402597,22.68,20.28,20.35,22.05,144777036,2603
2022/1/10,0.340101523,24.26,22.3,22.71,24.26,139470559,2603
2022/1/11,0.214559387,25.8,23.85,24.86,24.44,121504508,2603
2022/1/12,0.104109589,25.34,23.23,24.4,25.03,96064551,2603
2022/1/13,-0.139211137,24.45,22.53,24.35,23.07,98745065,2603
2022/1/14,0.257525084,25.38,22.71,22.79,25.38,93919762,2603
2022/1/17,0.268170426,27.92,25.43,26,27.6,145221159,2603
2022/1/18,0.110655738,27.26,25.76,26.39,25.87,99125781,2603
2022/1/19,0.023809524,26.26,24.76,25.3,25.29,68568523,2603
2022/1/20,-0.123595506,25.76,23.9,25.5,23.96,77597783,2603
2022/1/21,-0.245733788,24.2,22.51,23.89,22.64,67350051,2603
2022/1/24,-0.137724551,22.75,22.02,22.08,22.36,47828302,2603
2022/1/25,-0.394444444,22.54,20.76,22.36,20.8,61110489,2603
2022/1/26,-0.114285714,21.36,20.17,21.01,20.3,39198392,2603
2022/1/27,0.163793103,21.38,20.41,20.7,20.73,54959024,2603
2022/1/28,0.119047619,21.7,20.36,20.36,20.82,48644177,2603
2022/2/7,0.078947368,21.71,20.24,21.1,21.28,39298087,2603
2022/2/8,-0.183333333,21.23,20.45,21.1,20.95,27614137,2603
2022/2/9,0.260606061,23.05,20.66,20.71,23.05,50290691,2603
2022/2/10,0.069565217,24.5,22.8,23,23.68,70058005,2603
2022/2/11,-0.043478261,24,22,23.83,22.24,52908370,2603
2022/2/14,0.035087719,22.89,21.23,21.46,21.81,41003872,2603
2022/2/15,0.333333333,23.99,21.5,21.79,23.99,32239003,2603
2022/2/16,0.347560976,25.05,23.66,25,24.43,70655755,2603
2022/2/17,0.18115942,24.8,23.55,24.21,23.92,48510799,2603
2022/2/18,0.194174757,25.1,23.93,23.93,24.99,73452286,2603
2022/2/21,0.241935484,26.05,23.89,24.5,25.59,78937691,2603
2022/2/22,0.048128342,25.67,23.93,25,24.8,59465551,2603
2022/2/23,-0.019512195,25.44,24.33,24.7,24.57,44182853,2603
2022/2/24,0.278481013,26.09,24.38,24.58,24.79,74866732,2603
2022/2/25,0.004830918,24.97,23.92,24.48,23.96,58627561,2603
2022/2/28,0.181034483,24.88,23.9,23.99,24.1,57247565,2603
2022/3/1,0.023255814,24.16,23.53,23.9,23.75,34401211,2603
2022/3/2,0.194690265,25.8,23.21,23.5,25.02,67885303,2603
2022/3/3,0.483870968,26.09,24.73,25,25.51,63506709,2603
2022/3/4,0.177419355,27.5,25.06,25.27,26.29,78887257,2603
2022/3/7,0.320895522,27.07,25.57,26.75,26.8,60887890,2603
2022/3/8,-0.262295082,26.4,24.12,26.4,24.12,65385518,2603
2022/3/9,-0.108614232,23.9,21.74,23.68,22.91,68615938,2603
2022/3/10,-0.053691275,24.55,23.1,23.35,24.4,56711947,2603
2022/3/11,0.226765799,26.84,23.99,24.38,26.84,90615680,2603
2022/3/14,0.273469388,29.52,28.05,29,29.52,135855395,2603
2022/3/15,0.142570281,31,26.86,28.88,28.49,160319269,2603
