,date,open,close,high,low,volume,code
2366,2015/1/5,3566.09,3641.54,3669.04,3551.51,451198098,hs300
2367,2015/1/6,3608.43,3641.06,3683.23,3587.23,420962185,hs300
2368,2015/1/7,3620.92,3643.79,3671.19,3601.7,320191232,hs300
2369,2015/1/8,3650.07,3559.26,3659.95,3552.1,295003045,hs300
2370,2015/1/9,3547.57,3546.72,3689.75,3536.4,349982672,hs300
2371,2015/1/12,3531.51,3513.58,3560.53,3461.32,266567175,hs300
2372,2015/1/13,3506.45,3514.04,3550.16,3494.77,187153965,hs300
2373,2015/1/14,3522.91,3502.42,3547.24,3471.56,196012510,hs300
2374,2015/1/15,3501.72,3604.12,3604.12,3482.27,237812338,hs300
2375,2015/1/16,3616.25,3635.15,3662.16,3601.26,282681614,hs300
2376,2015/1/19,3414.01,3355.16,3497.25,3330.98,329505275,hs300
2377,2015/1/20,3336.79,3396.22,3419.2,3325.68,297843232,hs300
2378,2015/1/21,3420.49,3548.89,3557.79,3409.43,337928210,hs300
2379,2015/1/22,3551.05,3567.61,3576.76,3520.05,268853599,hs300
2380,2015/1/23,3582.09,3571.73,3627.81,3548.63,280172172,hs300
2381,2015/1/26,3580.12,3607.99,3611.62,3559.38,239766203,hs300
2382,2015/1/27,3614.04,3574.93,3616.26,3510.02,287669179,hs300
2383,2015/1/28,3547.24,3525.32,3583.31,3512.39,216220214,hs300
2384,2015/1/29,3474.92,3481.8,3505.58,3453.9,211618860,hs300
2385,2015/1/30,3496.89,3434.39,3514.22,3431.94,196479157,hs300
2386,2015/2/2,3360.19,3353.96,3407.26,3347.08,195183699,hs300
2387,2015/2/3,3388.6,3437.45,3441.71,3360.72,192846096,hs300
2388,2015/2/4,3446.14,3401.77,3476.82,3399.56,191304349,hs300
2389,2015/2/5,3487.95,3366.95,3487.95,3366.86,250430609,hs300
2390,2015/2/6,3352.33,3312.42,3374.05,3285.94,192664186,hs300
2391,2015/2/9,3305.73,3345.92,3376.53,3298.6,172353820,hs300
2392,2015/2/10,3345.08,3406.94,3407.18,3339.55,159309088,hs300
2393,2015/2/11,3415.98,3434.12,3445.66,3412.14,144613772,hs300
2394,2015/2/12,3435.36,3442.87,3453.58,3405.63,156081691,hs300
2395,2015/2/13,3458.83,3469.83,3509.5,3452.08,201089971,hs300
